"full_address","longitude","latitude"
"Lot TBA, TBA No street name, Whitlam, ACT 2611",149.0449171,-35.2724576
"131/41 Chandler Street, Belconnen, ACT 2617",149.0709502,-35.2394623
"8 Bayne Street Street, Taylor, ACT 2913",149.1099161,-35.1783044
"20 Buntine Crescent, Isaacs, ACT 2607",149.1150512,-35.3705358
"25 Longmore Crescent, Wanniassa, ACT 2903",149.0898487,-35.3889324
"188/15 Mower Place, Phillip, ACT 2606",149.0915879,-35.3463425
"13 Noel Ryan Gardens, Gordon, ACT 2906",149.0851182,-35.4459443
"26 Bertram st, Fadden, ACT 2904",149.1139972,-35.404111
"19 Bloomfield Crescent, Taylor, ACT 2913",149.1099161,-35.1783044
"91/311 Anketell Street, Greenway, ACT 2900",149.0717123,-35.4197933
"12A Howard Street, Torrens, ACT 2607",149.0881928,-35.3699279
"29/1 Mouat Street, Lyneham, ACT 2602",149.1327576,-35.2485434
"75a Dooring Street, Dickson, ACT 2602",149.1338557,-35.256304
"7 Biala Place, Ngunnawal, ACT 2913",149.1019111,-35.1706653
"59 Chirnside Circuit, Kambah, ACT 2902",149.0565373,-35.3841623
"22 Feilman Street, Taylor, ACT 2913",149.107537,-35.1529838
"67 Collings Street, Pearce, ACT 2607",149.0855441,-35.3571589
"5 Lamb Place, Chifley, ACT 2606",149.0730798,-35.349602
"13 Dyett Circuit, Theodore, ACT 2905",149.1178767,-35.45511
"17 Darwinia Terrace, Rivett, ACT 2611",149.028994,-35.3461046
"1 Phoenix Place, Giralang, ACT 2617",149.0941533,-35.2084291
"22 Barraclough Crescent, Monash, ACT 2904",149.0988393,-35.4161872
"33 Toppano Street, Moncrieff, ACT 2914",149.118213,-35.1620977
"10 Rochford Street, Fraser, ACT 2615",149.0492531,-35.189211
"9 Whistler Place, Kambah, ACT 2902",149.0627237,-35.3966116
"18 Biffin Street, Cook, ACT 2614",149.0598546,-35.2567711
"100 Pockett Avenue, Banks, ACT 2906",149.0952744,-35.4727779
"18 Jackie Howe Crescent, Macarthur, ACT 2904",149.1262863,-35.4071937
"22 Esplin Street, Taylor, ACT 2913",149.1005977,-35.1498896
"20 Laurel Martyn View, Whitlam, ACT 2611",149.0449171,-35.2724576
"15 Maggie Scott Terrace, Whitlam, ACT 2611",149.0449171,-35.2724576
"40 Barramundi Street, Throsby, ACT 2914",149.1666428,-35.1930313
"1602/2 Marcus Clarke Street, City, ACT 2601",149.125988,-35.284707
"21 Sturdee Crescent, Monash, ACT 2904",149.0945569,-35.4098019
"57 Gilbert Street, Hackett, ACT 2602",149.1612991,-35.2449829
"12 Aland Place, Fadden, ACT 2904",149.1226757,-35.4085587
"1 Dame Zara Street, Gungahlin, ACT 2912",149.148356,-35.184422
"74/6 - 10 Eyre Street, Griffith, ACT 2603",149.1403057,-35.3190069
"1 Hyne Place, Fadden, ACT 2904",149.1090864,-35.4027044
"6 Becke Place, Garran, ACT 2605",149.0997362,-35.3423747
"11 Walter Hood Lane, Red Hill, ACT 2603",149.129774,-35.342949
"17 Bandstand Street, Moncrieff, ACT 2914",149.1160378,-35.1588607
"57 Corkery Crescent, Taylor, ACT 2913",149.1195965,-35.1518188
"71 Kent Street, Deakin, ACT 2600",149.0985479,-35.3209129
"607/15 Challis Street, Dickson, ACT 2602",149.1345596,-35.2502148
"55 Corkery Crescent, Taylor, ACT 2913",149.1195965,-35.1518188
"2 Keewong Street, Crace, ACT 2911",149.1092163,-35.2004554
"23a Dumaresq St, Dickson, ACT 2602",149.1429952,-35.2510195
"196 Macfarlane Burnett Avenue, MacGregor, ACT 2615",149.0063409,-35.2048703
"19 Austin Street, Griffith, ACT 2603",149.1319155,-35.3276117
"170 Macfarlane Burnet Avenue, MacGregor, ACT 2615",149.0046382,-35.2048544
"241 Sculthorpe Avenue, Whitlam, ACT 2611",149.0449171,-35.2724576
"22 Keith Bain Crescent, Whitlam, ACT 2611",149.0449171,-35.2724576
"12 Eckley Street, Gungahlin, ACT 2912",149.1340632,-35.1815209
"27a & 27b William Street, Oaks Estate, ACT 2620",-73.3752675,40.688231
"The Griffin, 44 Constitution Avenue, Parkes, ACT 2600",149.1382882,-35.288374
"1602/19 Marcus Clarke Street, City, ACT 2601",149.1248959,-35.2851644
"3/19-21 Norton Street, Evatt, ACT 2617",149.0724521,-35.2124074
"64/44 Macquarie Street, Barton, ACT 2600",149.1357612,-35.3070386
"46/13-15 Challis Street, Dickson, ACT 2602",149.1345596,-35.2502148
"150/77 Northbourne Avenue, Turner, ACT 2612",149.1286636,-35.2753542
"413/240 Bunda Street, City, ACT 2601",149.134405,-35.2816321
"509/74 Northbourne Avenue, Braddon, ACT 2612",149.1305026,-35.275523
"27/2 Ranken Place, Belconnen, ACT 2617",149.0604502,-35.2356955
"607/8 Gribble Street, Gungahlin, ACT 2912",149.1311605,-35.182482
"Unit 289/Door T2-601 Wova, Phillip, ACT 2606",149.0829668,-35.340324
"26/45 West Row, City, ACT 2601",149.1274077,-35.2785727
"26/6 Gungahlin Place, Gungahlin, ACT 2912",149.135661,-35.1806555
"338/1 Anthony Rolfe Avenue, Gungahlin, ACT 2912",149.1299195,-35.181994
"1404/240 Bunda Street, City, ACT 2601",149.134405,-35.2816321
"318/74 Northbourne Avenue, Braddon, ACT 2612",149.1305026,-35.275523
"48/20 Allara Street, City, ACT 2601",149.1333284,-35.2824159
"11/22 Dulcie Holland Crescent, Moncrieff, ACT 2914",149.1139139,-35.154769
"704/21  Challis Street, Dickson, ACT 2602",149.1349116,-35.2504569
"39/57 Benjamin Way, Belconnen, ACT 2617",149.0678029,-35.2424231
"6/45 Honeysett View, Kingston, ACT 2604",149.1493402,-35.3126553
"214/2 Kerridge Street, Kingston, ACT 2604",149.1486252,-35.3136323
"5/68 Hardwick Crescent, Holt, ACT 2615",149.019269,-35.2203905
"7/11 Forbes Street, Turner, ACT 2612",149.1293139,-35.2673629
"82/20 Fairhall Street, Coombs, ACT 2611",149.037704,-35.316945
"58/31 Thynne Street, Bruce, ACT 2617",149.0972688,-35.2436164
"14/7 State Circle, Forrest, ACT 2603",149.1262863,-35.3129252
"25/26 Antill Street, Dickson, ACT 2602",149.1361452,-35.2488353
"149/7 IRVING STREET, Phillip, ACT 2606",149.0845284,-35.3388475
"131/161 Mortimer Lewis Drive, Greenway, ACT 2900",149.0721695,-35.4077598
"14/14 Boolee Street, Reid, ACT 2612",149.1382748,-35.2812281
"55/25 John Gorton Drive, Wright, ACT 2611",149.0413518,-35.3237173
"713/39 London Circuit, City, ACT 2601",149.1268246,-35.2793791
"1004/15 Bowes Street, Phillip, ACT 2606",149.0868669,-35.3441316
"107/74 Northbourne Avenue, Braddon, ACT 2612",149.1305026,-35.275523
"136/35 Oakden Street, Greenway, ACT 2900",149.0732858,-35.4216609
"240/36 Philip Hodgins Street, Wright, ACT 2611",149.0336551,-35.3178728
"308/13-15 Challis Street, Dickson, ACT 2602",149.1345596,-35.2502148
"221/24 Lonsdale Street, Braddon, ACT 2612",149.1332414,-35.2726992
"4/44 Otway Street, Harrison, ACT 2914",149.1531938,-35.1928566
"41 Cameleer Lane, Strathnairn, ACT 2615",148.9936526,-35.2314431
"7/16 De Burgh Street, Lyneham, ACT 2602",149.1315098,-35.2577219
